area,experiment,asymmetry,observer,value,gainScale,nVertex,band
V3,dg,card-obl,sub-0426,0.00639049012644679,1.1511558836751,940,2-10
V3,dg,rad-tang,sub-0426,0.0776152869543857,1.1511558836751,940,2-10
V3,dg,polc-polo,sub-0426,0.0152845840128118,1.1511558836751,940,2-10
V3,dg,horiz-vert,sub-0250,-0.189788685510082,0.775769418287615,1389,2-10
V3,dg,card-obl,sub-0250,-0.158026784363121,0.775769418287615,1389,2-10
V3,dg,rad-tang,sub-0250,0.0905655058407331,0.775769418287615,1389,2-10
V3,dg,polc-polo,sub-0250,0.0671714686643475,0.775769418287615,1389,2-10
V3,da,horiz-vert,sub-0037,0.0167859434486184,1.06382015866124,1900,2-10
V3,da,card-obl,sub-0037,-0.00795854600186493,1.06382015866124,1900,2-10
V3,da,rad-tang,sub-0037,0.130104165562535,1.06382015866124,1900,2-10
V3,da,polc-polo,sub-0037,0.0318799580407507,1.06382015866124,1900,2-10
V3,da,horiz-vert,sub-0201,-0.0749887500234413,1.08960504659305,1685,2-10
V3,da,card-obl,sub-0201,-0.010828055793659,1.08960504659305,1685,2-10
V3,da,rad-tang,sub-0201,0.203937870311174,1.08960504659305,1685,2-10
V3,da,polc-polo,sub-0201,0.0626434920643933,1.08960504659305,1685,2-10
V3,da,horiz-vert,sub-0255,-0.0133781870653283,0.887967789694283,1723,2-10
V3,da,card-obl,sub-0255,-0.0145906123724689,0.887967789694283,1723,2-10
V3,da,rad-tang,sub-0255,0.170449401775821,0.887967789694283,1723,2-10
V3,da,polc-polo,sub-0255,0.0471043864216668,0.887967789694283,1723,2-10
V3,da,horiz-vert,sub-wlsubj123,-0.0598820795713993,1.16768801947864,1668,2-10
V3,da,card-obl,sub-wlsubj123,-0.0271237573131182,1.16768801947864,1668,2-10
V3,da,rad-tang,sub-wlsubj123,0.151786586138054,1.16768801947864,1668,2-10
V3,da,polc-polo,sub-wlsubj123,-0.0297561984025965,1.16768801947864,1668,2-10
V3,da,horiz-vert,sub-wlsubj124,0.0105378412853884,0.931690889522906,1464,2-10
V3,da,card-obl,sub-wlsubj124,-0.00537969924568524,0.931690889522906,1464,2-10
